username,timestamp,quantity,foodName,vendorName
ryanpond21,2017-12-09 00:00:00.000,1,Chicken Tenders,The Loop
ryanpond22,2017-12-08 00:00:00.001,1,Chow Mein,Panda Express
ryanpond23,2017-12-08 1:00:00.002,2,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond24,2017-12-08 3:00:00.003,1,Southwest Burger,The Loop
ryanpond25,2017-12-05 00:00:00.004,1,Rainbow,Gyotaku
ryanpond26,2017-12-01 00:00:00.005,2,Chow Mein,Panda Express
ryanpond27,2017-12-01 10:00:00.006,1,Southwest Burger,The Loop
ryanpond28,2017-12-09 00:00:00.007,1,California Club Salad,Cafe Edens
ryanpond29,2017-12-01 02:00:00.008,2,Rainbow,Gyotaku
ryanpond30,2017-12-09 00:00:00.009,1,Pancakes,Cafe Edens
ryanpond31,2017-12-09 00:00:00.010,1,California Club Salad,Cafe Edens
ryanpond32,2017-11-29 00:00:00.011,2,Chicken Tenders,The Loop
ryanpond33,2017-11-28 00:00:00.012,1,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond34,2017-11-27 00:00:00.013,1,Southwest Burger,The Loop
ryanpond35,2017-11-27 10:00:00.014,2,Rainbow,Gyotaku
ryanpond36,2017-11-27 11:00:00.015,1,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond37,2017-11-10 00:00:00.016,1,Chicken Tenders,The Loop
ryanpond38,2017-11-10 00:00:00.017,2,Pancakes,Cafe Edens
ryanpond39,2017-11-09 00:00:00.018,1,Rainbow,Gyotaku
