username,timestamp,quantity,foodName,vendorName
ryanpond21,2017-12-09 00:00:00.000,1,Chicken Tenders,The Loop
ryanpond21,2017-12-08 00:00:00.001,1,Chow Mein,Panda Express
ryanpond21,2017-12-08 01:00:00.002,1,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond21,2017-12-08 03:00:00.003,1,Southwest Burger,The Loop
ryanpond21,2017-12-05 00:00:00.004,1,Rainbow,Gyotaku
ryanpond21,2017-12-01 00:00:00.005,1,Chow Mein,Panda Express
ryanpond21,2017-12-01 10:00:00.006,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-12-09 00:00:00.007,1,California Club Salad,Cafe Edens
ryanpond21,2017-12-01 02:00:00.008,1,Rainbow,Gyotaku
ryanpond21,2017-12-09 00:00:00.009,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-12-09 00:00:00.010,1,California Club Salad,Cafe Edens
ryanpond21,2017-11-29 00:00:00.011,1,Chicken Tenders,The Loop
ryanpond21,2017-11-28 00:00:00.012,1,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond21,2017-11-27 00:00:00.013,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-11-27 10:00:00.014,1,Rainbow,Gyotaku
ryanpond21,2017-11-27 11:00:00.015,1,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond21,2017-11-10 00:00:00.016,1,Chicken Tenders,The Loop
ryanpond21,2017-11-10 00:00:00.017,1,Pancakes,Cafe Edens
ryanpond21,2017-11-09 00:00:00.018,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-12-09 20:20:00.000,1,Quesadilla,Cafe Edens
ryanpond21,2017-12-08 03:31:00.001,1,Masala Dosa,Tandoor
ryanpond21,2017-12-01 11:00:00.002,1,Chicken Tikka Masala,Tandoor
ryanpond21,2017-12-01 03:20:00.203,1,Chillie Beef,Tandoor
ryanpond21,2017-12-01 02:00:00.204,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-12-01 00:00:00.015,1,Naan,Tandoor
ryanpond21,2017-12-02 10:00:00.106,1,Tacos,Cafe Edens
ryanpond21,2017-12-02 00:00:00.107,1,Red Quino Salad,Sprout
ryanpond21,2017-12-05 02:00:00.018,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-12-04 00:00:00.009,1,Aloo Methi,Tandoor
ryanpond21,2017-12-04 00:00:00.010,1,Lamb Samo,Tandoor
ryanpond21,2017-11-23 00:00:00.011,1,Grilled Cheese,Divinity Cafe 
ryanpond21,2017-11-12 00:00:00.017,1,Tomato Soup,Divinity Cafe 
ryanpond21,2017-11-12 10:00:00.017,1,Fish Tacos,Divinity Cafe 
ryanpond21,2017-11-11 20:00:00.017,1,Buffalo Mac and Cheese,Divinity Cafe 
ryanpond21,2017-11-11 00:30:00.017,1,Masala Dosa,Tandoor
ryanpond21,2017-11-12 00:00:30.017,1,Chicken Tikka Masala,Tandoor
ryanpond21,2017-11-11 00:00:04.017,1,Chillie Beef,Tandoor
ryanpond21,2017-12-03 00:20:00.018,1,Paneer,Tandoor
