Name,Vendor Name,price ,calories,carbs,protein,fat
Chicken Tenders,The Loop,9.99,500,12,20,15
Lo Mein,Panda Express,3.99,600,20,5,15
Bacon Clubhouse Burger 9.7 oz (274 g),McDonald's,14.50980392,740,51,40,41
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g),McDonald's,12.2,610,50,45,26
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g),McDonald's,11.79104478,790,67,40,40
McChicken Œ 5.1 oz (144 g),McDonald's,9.25,370,40,14,17
Buffalo Ranch McChicken 5.2 oz (148 g),McDonald's,9.024390244,370,41,14,17
Bacon Buffalo Ranch McChicken 5.7 oz (162 g),McDonald's,10.73170732,440,41,20,21
Bacon Cheddar McChicken 6.1 oz (172 g),McDonald's,11.39534884,490,43,22,25
Southern Style Buttermilk Crispy Chicken Sandwich 5.7 oz (162 g),McDonald's,10.2173913,470,46,25,21
Filet-O-Fish 5 oz (142 g),McDonald's,10,390,39,15,19
McRib Œ 7.3 oz (208 g),McDonald's,11.36363636,500,44,22,26
Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g),McDonald's,11.89655172,690,58,36,34
Premium McWrap Chicken & Bacon (Grilled) 11 oz (312 g),McDonald's,12.19512195,500,41,41,19
Premium McWrap Chicken & Ranch (Buttermilk Crispy) 10.9 oz (309 g),McDonald's,11.18644068,660,59,31,34
Premium McWrap Chicken & Ranch (Grilled) 10.8 oz (306 g),McDonald's,11.46341463,470,41,35,19
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy) 10.6 oz (301 g),McDonald's,9.21875,590,64,27,25
Premium McWrap Chicken Sweet Chili (Grilled) 10.4 oz (294 g),McDonald's,8.695652174,400,46,31,10
Big Mac 7.5 oz (212 g),McDonald's,11.4893617,540,47,25,28
Quarter PounderŒ with Cheese 7.3 oz (206 g),McDonald's,12.85714286,540,42,31,28
Double Quarter Pounder with Cheese 10.3 oz (291 g),McDonald's,18.13953488,780,43,50,45
Hamburger 3.5 oz (99 g),McDonald's,7.8125,250,32,12,8
Cheeseburger 4 oz (113 g),McDonald's,9.090909091,300,33,15,12
BBQ Ranch Burger 4 oz (114 g),McDonald's,9.459459459,350,37,15,15
Grilled Onion Cheddar 4 oz (114 g),McDonald's,9.6875,310,32,15,13
Double Cheeseburger 5.7 oz (163 g),McDonald's,12.57142857,440,35,25,22
McDouble 5.2 oz (148 g),McDonald's,11.47058824,390,34,22,18
